6,0.180
7,0.148
8,0.129
9,0.116
10,0.104
11,0.095
12,0.089
13,0.081
14,0.077
15,0.072
16,0.068
17,0.065
18,0.060
19,0.059
20,0.056
21,0.055
22,0.052
